sample_id,writer_id,source_path,set_id,line_id,prompt_reference,reference,gt_text,gt_status,gt_source,flat_image_path,image_path,crop_x0,crop_y0,crop_x1,crop_y1,line_has_handwriting,line_status,line_exportable,line_ink_pixels,line_ink_ratio,line_ink_bbox_area,line_ink_bbox_ratio,needs_review,sex,difficulty,difficulty_group,checkbox_sex_female_density,checkbox_sex_male_density,checkbox_difficulty_none_density,checkbox_difficulty_dysgraphia_density,checkbox_difficulty_other_density,checkbox_sex_female_extra_density,checkbox_sex_male_extra_density,checkbox_difficulty_none_extra_density,checkbox_difficulty_dysgraphia_extra_density,checkbox_difficulty_other_extra_density,sex_conflict,difficulty_conflict,birth_year,birth_year_status,split,reviewed,review_status,review_note,review_updated_at
001_p01_A_l01,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,1,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l01.png,187,1091,2300,1279,True,filled,True,13365,0.033644309291015,183312,0.4614594556494245,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l02,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,2,"Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l02.png,187,1366,2300,1553,True,filled,True,13714,0.0347074767608717,202502,0.5124933249985448,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l03,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,3,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l03.png,187,1640,2300,1828,True,filled,True,11792,0.029684526386805,267400,0.6731379202706649,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l04,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,4,"„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l04.png,187,1915,2300,2103,True,filled,True,13473,0.0339161824974071,247396,0.6227809608200502,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l05,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,5,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l05.png,187,2190,2300,2378,True,filled,True,18294,0.0460523003494074,225552,0.5677920874827562,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l06,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,6,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l06.png,187,2465,2300,2652,True,filled,True,15441,0.0390781791355272,215818,0.546193540876317,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l07,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,7,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l07.png,187,2740,2300,2927,True,filled,True,15014,0.0379975248714983,245778,0.6220164957950655,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
001_p01_A_l08,001_p01,C:\Magisterka\Formularze\raw_examples\001.pdf,A,8,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\001_p01_A_l08.png,187,3014,2300,3202,True,filled,True,16680,0.0419893063205485,244596,0.6157323962098861,False,mezczyzna,nie,nie,0.0952380952380952,0.3492063492063492,0.48,0.2,0.15,0.0,0.048145933014354,0.0623109497882637,0.0300967937084089,0.0242145593869731,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:39:09
002_p01_A_l01,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,1,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l01.png,187,1091,2300,1279,True,filled,True,16675,0.0419767195980304,281961,0.7097929735880215,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l02,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,2,"Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l02.png,187,1366,2300,1553,True,filled,True,18106,0.0458227777623117,236390,0.5982572868238635,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l03,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,3,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l03.png,187,1640,2300,1828,True,filled,True,15126,0.0380773529619075,296250,0.7457633092003907,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l04,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,4,"„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l04.png,187,1915,2300,2103,True,filled,True,17536,0.0441441532156558,269541,0.6785275548529367,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l05,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,5,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l05.png,187,2190,2300,2378,True,filled,True,20933,0.052695572494487,285474,0.7186364048292737,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l06,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,6,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l06.png,187,2465,2300,2652,True,filled,True,20243,0.051231110694934,281061,0.7113109323237103,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
