model,operation,reference_char,predicted_char,count
Qwen3-VL,substitution,l,ł,4
Qwen3-VL,substitution,K,k,2
Qwen3-VL,substitution,S,Ś,1
Qwen3-VL,substitution,e,ę,7
Qwen3-VL,substitution,s,ś,1
Qwen3-VL,substitution,?,.,1
Qwen3-VL,substitution,r,d,1
Qwen3-VL,substitution,ę,e,2
Qwen3-VL,substitution,t,n,1
Qwen3-VL,substitution,",",.,1
Qwen3-VL,substitution,Ś,S,2
Qwen3-VL,substitution,z,w,1
Qwen3-VL,substitution,ą,a,1
Qwen3-VL,substitution,T,S,1
Qwen3-VL,substitution,y,e,1
Qwen3-VL,substitution,e,c,3
Qwen3-VL,substitution,s,h,1
Qwen3-VL,substitution,w,b,1
Qwen3-VL,substitution,s,m,1
Qwen3-VL,substitution,k,t,1
Qwen3-VL,substitution,u,r,1
Qwen3-VL,substitution,n,ó,1
Qwen3-VL,substitution,d,w,1
Qwen3-VL,substitution,t,ł,1
Qwen3-VL,substitution,P,p,2
Qwen3-VL,substitution,k,K,1
Qwen3-VL,substitution,d,t,1
Qwen3-VL,substitution,u,ó,1
Qwen3-VL,substitution,z,ż,2
Qwen3-VL,substitution,N,n,1
Qwen3-VL,substitution,o,a,3
Qwen3-VL,substitution,D,R,1
Qwen3-VL,deletion,.,,7
Qwen3-VL,deletion,I,,1
Qwen3-VL,deletion,D,,1
Qwen3-VL,deletion,:,,1
Qwen3-VL,deletion, ,,2
Qwen3-VL,deletion,n,,1
Qwen3-VL,deletion,a,,1
Qwen3-VL,deletion,k,,1
Qwen3-VL,deletion,”,,1
Qwen3-VL,deletion,i,,1
Qwen3-VL,deletion,m,,1
Qwen3-VL,deletion,l,,1
Qwen3-VL,deletion,r,,1
Qwen3-VL,deletion,h,,1
Qwen3-VL,insertion,,.,3
Qwen3-VL,insertion,, ,3
Qwen3-VL,insertion,,o,1
Qwen3-VL,insertion,,I,1
Qwen3-VL,insertion,,a,1
Qwen3-VL,insertion,,l,1
Qwen3-VL,insertion,,u,1
Qwen3-VL,insertion,,r,1
Qwen3-VL,insertion,,z,1
Qwen3-VL,insertion,,ł,1
Qwen3-VL,insertion,,:,1
TrOCR-large,substitution,ą,a,2
TrOCR-large,substitution,p,P,4
TrOCR-large,substitution,o,e,2
TrOCR-large,substitution,n,c,2
TrOCR-large,substitution,a,z,2
TrOCR-large,substitution,m,w,1
TrOCR-large,substitution,i,o,1
TrOCR-large,substitution,n,m,1
TrOCR-large,substitution,I,T,1
TrOCR-large,substitution,a,c,2
TrOCR-large,substitution,c,a,1
TrOCR-large,substitution,h,ł,1
TrOCR-large,substitution,l,ł,3
TrOCR-large,substitution,a,e,1
TrOCR-large,substitution,o,a,5
TrOCR-large,substitution,s,ś,1
TrOCR-large,substitution,e,ę,3
TrOCR-large,substitution,ć,ś,1
TrOCR-large,substitution,p,j,1
TrOCR-large,substitution,ó,a,1
TrOCR-large,substitution,ł,k,1
TrOCR-large,substitution,k,K,2
TrOCR-large,substitution,",",.,1
TrOCR-large,substitution,n,e,1
TrOCR-large,substitution, ,z,1
TrOCR-large,substitution,—,?,1
TrOCR-large,substitution,l,g,1
TrOCR-large,substitution,i,r,1
TrOCR-large,substitution,n,ł,2
TrOCR-large,substitution, ,o,1
TrOCR-large,substitution,l,s,2
TrOCR-large,substitution,e,i,1
TrOCR-large,substitution,t,ł,1
TrOCR-large,substitution,P,p,2
TrOCR-large,substitution,1,3,1
TrOCR-large,substitution,d,t,1
TrOCR-large,substitution,u,ó,1
