dataset,source_dataset,preprocessing_variant,auto_invert,sample_id,image_key,image_path,relative_image_path,group,image_number,reference_source,text_id,line_id,reference,csv_candidate_count,annotation_status,source_group,text,export_image_path,image_relpath,malaysian_split
malaysian_raw,malaysian,raw,False,LPD_001_t1_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_001_t1_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_001_t1_l1.png,malaysian_manual_lines — kopia\LPD_001_t1_l1.png,LPD,1,manual_lines_annotations,1,1,Baju itu baru dibeli oleh emak.,1,ok,LPD,Baju itu baru dibeli oleh emak.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_001_t1_l1_raw.png,images/raw/LPD_001_t1_l1_raw.png,test
malaysian_raw,malaysian,raw,False,LPD_002_t2_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l1.png,malaysian_manual_lines — kopia\LPD_002_t2_l1.png,LPD,2,manual_lines_annotations,2,1,Burung itu berada di dalam sangkar. Sangkar,1,ok,LPD,Burung itu berada di dalam sangkar. Sangkar,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_002_t2_l1_raw.png,images/raw/LPD_002_t2_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_002_t2_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_002_t2_l2.png,malaysian_manual_lines — kopia\LPD_002_t2_l2.png,LPD,2,manual_lines_annotations,2,2,baru itu milik bapa.,1,ok,LPD,baru itu milik bapa.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_002_t2_l2_raw.png,images/raw/LPD_002_t2_l2_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_003_t3_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l1.png,malaysian_manual_lines — kopia\LPD_003_t3_l1.png,LPD,3,manual_lines_annotations,3,1,Saya suka bermain basikal pada waktu lapang. Basikal itu,1,ok,LPD,Saya suka bermain basikal pada waktu lapang. Basikal itu,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_003_t3_l1_raw.png,images/raw/LPD_003_t3_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_003_t3_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l2.png,malaysian_manual_lines — kopia\LPD_003_t3_l2.png,LPD,3,manual_lines_annotations,3,2,dibeli oleh ayah saya. Roda basikal saya berwarna,1,ok,LPD,dibeli oleh ayah saya. Roda basikal saya berwarna,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_003_t3_l2_raw.png,images/raw/LPD_003_t3_l2_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_003_t3_l3_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l3.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_003_t3_l3.png,malaysian_manual_lines — kopia\LPD_003_t3_l3.png,LPD,3,manual_lines_annotations,3,3,hijau dan putih.,1,ok,LPD,hijau dan putih.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_003_t3_l3_raw.png,images/raw/LPD_003_t3_l3_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_004_t1_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_004_t1_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_004_t1_l1.png,malaysian_manual_lines — kopia\LPD_004_t1_l1.png,LPD,4,manual_lines_annotations,1,1,Baju itu baru dibeli oleh emak.,1,ok,LPD,Baju itu baru dibeli oleh emak.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_004_t1_l1_raw.png,images/raw/LPD_004_t1_l1_raw.png,test
malaysian_raw,malaysian,raw,False,LPD_005_t2_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l1.png,malaysian_manual_lines — kopia\LPD_005_t2_l1.png,LPD,5,manual_lines_annotations,2,1,Burung itu berada di dalam sangkar. Sangkar,1,ok,LPD,Burung itu berada di dalam sangkar. Sangkar,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_005_t2_l1_raw.png,images/raw/LPD_005_t2_l1_raw.png,val
malaysian_raw,malaysian,raw,False,LPD_005_t2_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_005_t2_l2.png,malaysian_manual_lines — kopia\LPD_005_t2_l2.png,LPD,5,manual_lines_annotations,2,2,baru itu milik bapa.,1,ok,LPD,baru itu milik bapa.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_005_t2_l2_raw.png,images/raw/LPD_005_t2_l2_raw.png,val
malaysian_raw,malaysian,raw,False,LPD_006_t3_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l1.png,malaysian_manual_lines — kopia\LPD_006_t3_l1.png,LPD,6,manual_lines_annotations,3,1,Saya suka bermain basikal pada waktu lapang.,1,ok,LPD,Saya suka bermain basikal pada waktu lapang.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_006_t3_l1_raw.png,images/raw/LPD_006_t3_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_006_t3_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l2.png,malaysian_manual_lines — kopia\LPD_006_t3_l2.png,LPD,6,manual_lines_annotations,3,2,Basikal itu dibeli oleh ayah saya. Roda basikal,1,ok,LPD,Basikal itu dibeli oleh ayah saya. Roda basikal,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_006_t3_l2_raw.png,images/raw/LPD_006_t3_l2_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_006_t3_l3_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l3.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_006_t3_l3.png,malaysian_manual_lines — kopia\LPD_006_t3_l3.png,LPD,6,manual_lines_annotations,3,3,saya berwarna hijau.,1,ok,LPD,saya berwarna hijau.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_006_t3_l3_raw.png,images/raw/LPD_006_t3_l3_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_007_t1_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_007_t1_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_007_t1_l1.png,malaysian_manual_lines — kopia\LPD_007_t1_l1.png,LPD,7,manual_lines_annotations,1,1,Baju itu baru dibeli oleh emak.,1,ok,LPD,Baju itu baru dibeli oleh emak.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_007_t1_l1_raw.png,images/raw/LPD_007_t1_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_008_t2_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_008_t2_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_008_t2_l1.png,malaysian_manual_lines — kopia\LPD_008_t2_l1.png,LPD,8,manual_lines_annotations,2,1,Burung itu berada di dalam sangkar. Sangkar,1,ok,LPD,Burung itu berada di dalam sangkar. Sangkar,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_008_t2_l1_raw.png,images/raw/LPD_008_t2_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_008_t2_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_008_t2_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_008_t2_l2.png,malaysian_manual_lines — kopia\LPD_008_t2_l2.png,LPD,8,manual_lines_annotations,2,2,baru itu milik bapa.,1,ok,LPD,baru itu milik bapa.,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_008_t2_l2_raw.png,images/raw/LPD_008_t2_l2_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_009_t3_l1_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_009_t3_l1.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_009_t3_l1.png,malaysian_manual_lines — kopia\LPD_009_t3_l1.png,LPD,9,manual_lines_annotations,3,1,Saya suka bermain basikal pada waktu,1,ok,LPD,Saya suka bermain basikal pada waktu,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_009_t3_l1_raw.png,images/raw/LPD_009_t3_l1_raw.png,train
malaysian_raw,malaysian,raw,False,LPD_009_t3_l2_raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_009_t3_l2.png|raw,C:\Magisterka\Dataset\malaysian_manual_lines — kopia\LPD_009_t3_l2.png,malaysian_manual_lines — kopia\LPD_009_t3_l2.png,LPD,9,manual_lines_annotations,3,2,lapang. Basikal itu dibeli oleh ayah saya. Roda basikal,1,ok,LPD,lapang. Basikal itu dibeli oleh ayah saya. Roda basikal,C:\Magisterka\FineTuning\qwen_mixed_domain\images\raw\LPD_009_t3_l2_raw.png,images/raw/LPD_009_t3_l2_raw.png,train
